filename,width,height,class,xmin,ymin,xmax,ymax
00182_00001_jpg.rf.31cf1667e8f4c73b1915a3f643046d4b.jpg,416,416,golfball,306,308,322,321
Put5_012_00001_jpg.rf.31d78e720ec8a51f41ccfbfff0f8b052.jpg,416,416,golfball,314,314,331,331
Image0210_15221_00009_jpg.rf.31e0e2cc7fb9b262b5a4cc2df32f0f0c.jpg,416,416,golfball,94,94,104,104
Image0210_15179_00006_jpg.rf.31e0fa73091fb316d1c5301561d84fea.jpg,416,416,golfball,91,204,106,219
Golf17_069_00003_jpg.rf.31fd38803d71944473629b55b7e0fbc9.jpg,416,416,golfball,315,99,325,109
01030_00008_jpg.rf.31f08c42e836ccea1569b2169a49941e.jpg,416,416,golfball,92,200,105,213
Image0207_1403_00008_jpg.rf.31c7a27a505a24202e4cbfde0b765c3f.jpg,416,416,golfball,94,202,104,212
00111_00004_jpg.rf.31c757da58fbe73eb5ce2808f90daad4.jpg,416,416,golfball,175,284,238,346
Image0210_10689_00004_jpg.rf.31efd46aa662a8442017a96735e301b1.jpg,416,416,golfball,198,305,215,322
Image0208_8011_00007_jpg.rf.31cf10e49312b07f7d4aa2c8510c1dd0.jpg,416,416,golfball,92,306,106,321
Put2_023_00008_jpg.rf.31e839bc3d0ca7b6a45cf8ca171e78bf.jpg,416,416,golfball,100,209,112,221
Image0210_10672_00008_jpg.rf.31fc68a450d2ec6fd45fb1039c034587.jpg,416,416,golfball,90,198,107,215
Put1_018_00006_jpg.rf.31e05ca614bb07ac59c994da2c7bf88d.jpg,416,416,golfball,207,100,223,112
00316_00005_jpg.rf.31fca2324a0352813e1ed9972fce0e4f.jpg,416,416,golfball,198,202,216,215
00994_00002_jpg.rf.31e43404cfe41d7a9ee523f9f282122e.jpg,416,416,golfball,307,197,320,213
Image0213_2731_00004_jpg.rf.31f61b0e4a16fbe87438ade473b2160e.jpg,416,416,golfball,201,309,213,319
Image0209_1951_00004_jpg.rf.31dd3705d283acbc9a7c0d8b9e89c06e.jpg,416,416,golfball,200,306,214,321
Image0212_376_00003_jpg.rf.31c56ee6a40cb3904171b9ad217487d7.jpg,416,416,golfball,306,92,321,106
Image0209_1954_00006_jpg.rf.31ec0ac7d330cae6c8210a69c439b6ed.jpg,416,416,golfball,200,92,214,106
01047_00004_jpg.rf.31e151b7b7b209fc93f351c1e548087a.jpg,416,416,golfball,201,310,212,320
Image0214_10119_00002_jpg.rf.31d455c44fc84faee7eacaf3b329d30c.jpg,416,416,golfball,310,203,318,211
00098_00004_jpg.rf.31d3155570cf297b5fb270b23adb2e94.jpg,416,416,golfball,193,300,221,328
Put2_011_00005_jpg.rf.31e02896adb90060c354e672401a0ad3.jpg,416,416,golfball,208,208,223,223
Image0210_15232_00005_jpg.rf.31e0533e24356bf1866e18139e42d8b2.jpg,416,416,golfball,202,202,212,212
00831_00003_jpg.rf.320c1468f291b10f8c04b5fe11800e79.jpg,416,416,golfball,192,186,222,217
Image0204_5762_00006_jpg.rf.320799e872df4855432e102dd0efd5bd.jpg,416,416,golfball,200,91,214,106
Image0212_405_00003_jpg.rf.3208a510dc3e77189906f8c99b04ede0.jpg,416,416,golfball,308,92,320,106
Image0213_20290_00005_jpg.rf.321c08f7d052cd6741172319dc8983d9.jpg,416,416,golfball,201,201,213,213
00511_00002_jpg.rf.322a5673084f2def705358bad000ad39.jpg,416,416,golfball,310,91,317,102
00285_00003_jpg.rf.32222d9a77908adbd5248c5338891751.jpg,416,416,golfball,202,308,212,319
Image0212_376_00007_jpg.rf.3212e49d332a676fb717642d335d4254.jpg,416,416,golfball,91,307,106,321
00432_00004_jpg.rf.32224567afe2fea4a3a37e2d4540d4da.jpg,416,416,golfball,201,255,212,268
Image0213_2731_00005_jpg.rf.3227ca13f61938cf73d24559703f1aa0.jpg,416,416,golfball,201,202,213,212
Image0210_15201_00004_jpg.rf.322c50e2534f8c436eee7fc5f59741b6.jpg,416,416,golfball,200,307,214,321
01020_00006_jpg.rf.321c92c4f4bc574ded9c300b0ffb96f3.jpg,416,416,golfball,93,91,104,104
00337_00006_jpg.rf.322b0f8164e779d31788223ab9db2025.jpg,416,416,golfball,92,268,105,281
Image0210_793_00006_jpg.rf.3229c4f3859e1349397eb2420a0b0c9d.jpg,416,416,golfball,90,233,107,250
Put3_006_00005_jpg.rf.31c564978aa6797b17afb31490f2c2a9.jpg,416,416,golfball,205,205,224,224
00709_00005_jpg.rf.3231ba2a8ae9d6604e99156d3e465ee8.jpg,416,416,golfball,91,308,107,321
00545_00003_jpg.rf.323d875a0135919e091836935c558c0d.jpg,416,416,golfball,309,95,319,102
Image0207_1381_00003_jpg.rf.32354b3a03cf64670b53c41c329cb5bf.jpg,416,416,golfball,308,93,320,105
00054_00005_jpg.rf.32498ca8b5d72209a6731a82fbe63372.jpg,416,416,golfball,87,302,111,326
00684_00004_jpg.rf.323fe6a9e72d4799c960854affca365b.jpg,416,416,golfball,154,265,260,367
01082_00006_jpg.rf.3243a1430f7ecab33cad507ad4c405a2.jpg,416,416,golfball,92,273,105,289
00094_00003_jpg.rf.324bcd925cf18f65ad8cd44f7ac57639.jpg,416,416,golfball,83,348,114,379
00990_00008_jpg.rf.32487fae0106c7dc38d4ecafb505342c.jpg,416,416,golfball,90,195,108,214
01010_00005_jpg.rf.324b485eb2b9a4e3a60243bd371f3f88.jpg,416,416,golfball,203,200,210,210
Image0209_1947_00001_jpg.rf.3244c2458537c9d73cb42c5338d6e90f.jpg,416,416,golfball,307,306,321,321
Image0212_416_00001_jpg.rf.324e88ba9e7f8492213e38387a1b77d2.jpg,416,416,golfball,309,309,319,319
Image0213_2718_00005_jpg.rf.32419efede04949aece98a8082b2feb3.jpg,416,416,golfball,201,201,213,213
Image0204_758_00009_jpg.rf.3251872731226dfd77b5bd92e3b319ea.jpg,416,416,golfball,91,93,106,105
Image0209_1948_00003_jpg.rf.32507e96100122a15aba82241998639f.jpg,416,416,golfball,307,92,321,106
Image0203_14841_00002_jpg.rf.3259f74808d586f9d0d2b893e6ffc8bc.jpg,416,416,golfball,308,202,320,212
00194_00006_jpg.rf.3253f738f05ec33bd4d245e059a69dc1.jpg,416,416,golfball,198,93,216,106
Golf17_094_00008_jpg.rf.323728b7bd0c9dfe72a4da936c1a382f.jpg,416,416,golfball,98,207,107,215
00055_00007_jpg.rf.3260bb3db1fc10f8be2001176f5eba7d.jpg,416,416,golfball,92,307,105,320
00464_00003_jpg.rf.3255602cd02800bc6c2f14b2aadb2c5c.jpg,416,416,golfball,309,95,319,102
Image0210_10664_00001_jpg.rf.325d1e6aeeb7457662f870c4773af6b2.jpg,416,416,golfball,305,306,322,321
Image0210_15221_00007_jpg.rf.32560a93feb7be15a1e9869f93f497dd.jpg,416,416,golfball,94,309,104,319
Image0210_15200_00001_jpg.rf.325615215e90e24d95016a9a39218ec5.jpg,416,416,golfball,308,307,320,321
Image0209_2013_00003_jpg.rf.32542a3ddd7cbd273328856d4f2f0bee.jpg,416,416,golfball,309,94,319,104
00255_00009_jpg.rf.325f8391c98af071825197b2ef10a55a.jpg,416,416,golfball,93,93,104,104
00126_00003_jpg.rf.326f8706f9e68f1ab44ffa3c891d5e2b.jpg,416,416,golfball,299,85,329,113
00656_00002_jpg.rf.3259ca2f29cf5ea8a06cb3fb89f1c0d4.jpg,416,416,golfball,310,203,317,210
00701_00009_jpg.rf.32639bc0499c2574737dc0709d4ded32.jpg,416,416,golfball,89,114,108,138
00227_00009_jpg.rf.3272a941dfab1184ff075375a31cdb69.jpg,416,416,golfball,89,94,108,118
Golf17_062_00003_jpg.rf.32684084432d10f7b9f7b0debd6ac143.jpg,416,416,golfball,315,98,326,109
Image0212_351_00003_jpg.rf.327d1be3c7287ed6f333576f0a65df17.jpg,416,416,golfball,306,91,321,106
00237_00002_jpg.rf.326a62ef6f60620ef3a2cc8a90701e96.jpg,416,416,golfball,307,200,320,213
00743_00004_jpg.rf.327762d67a60a6ae00f099aade9c6762.jpg,416,416,golfball,94,313,104,318
