filename,width,height,class,xmin,ymin,xmax,ymax
00001_00002_jpg.rf.006079270dcc836873e6174134f6d9ab.jpg,416,416,golfball,308,270,319,280
00001_00002_jpg.rf.2a70679684a7f9559aa6a0e5f9b80531.jpg,416,416,golfball,308,270,319,280
00001_00002_jpg.rf.ad7b8424086df571ed53b72c6bc481fb.jpg,416,416,golfball,308,270,319,280
00001_00003_jpg.rf.77c9c722cc68c38ea7b92af5ef134c0e.jpg,416,416,golfball,201,310,212,320
00001_00003_jpg.rf.aeb7dde3c428c4b8f453af4d71ecbe13.jpg,416,416,golfball,201,310,212,320
00001_00003_jpg.rf.ecc2dacdd7a30d9d95e6599bd2e0aec1.jpg,416,416,golfball,201,310,212,320
00001_00004_jpg.rf.7460362cc7474983725ca1bab473ca23.jpg,416,416,golfball,201,270,212,280
00001_00004_jpg.rf.7c8205aca0c6eec525b7478b77848baf.jpg,416,416,golfball,201,270,212,280
00001_00004_jpg.rf.c2e91a1553dd4e2d5baf42b1a35448f9.jpg,416,416,golfball,201,270,212,280
00001_00006_jpg.rf.66c93439230887bd042009e07f55d9e3.jpg,416,416,golfball,93,270,104,280
00001_00006_jpg.rf.98e5cc7e9aad1070974c7c7b22e4569b.jpg,416,416,golfball,93,270,104,280
00001_00006_jpg.rf.ff1fcbf07903e4cecf8a1fc7fd652dc8.jpg,416,416,golfball,93,270,104,280
00002_00001_jpg.rf.696d06d183b0b22ac98f875f6b27ba45.jpg,416,416,golfball,177,134,188,145
00002_00001_jpg.rf.6e3f690e045e23111552cb57261fc830.jpg,416,416,golfball,177,134,188,145
00002_00001_jpg.rf.9aa5bc429a587e42b31c854f3fa78a77.jpg,416,416,golfball,177,134,188,145
00002_00002_jpg.rf.3268ebf88cad05443ee27612f20912e0.jpg,416,416,golfball,177,93,188,104
00002_00002_jpg.rf.5718ff6e6ec0196b702a2a44e2ed49d7.jpg,416,416,golfball,177,93,188,104
00002_00002_jpg.rf.c1102278d93d2cc926bda472bee5947a.jpg,416,416,golfball,177,93,188,104
00003_00001_jpg.rf.384f7286ef0568c6124a4b36dba3dcd4.jpg,416,416,golfball,177,124,188,137
00003_00001_jpg.rf.e0a49b26097e37f9e17b3f3eebc3ea7c.jpg,416,416,golfball,177,124,188,137
